code,name,source_org,topics,years_available
SL.TLF.CACT.NE.ZS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1962-2024
SL.TLF.CACT.ZS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1990-2024
SL.TLF.INTM.FE.ZS,"Labor force with intermediate education, female (% of female working-age population with intermediate education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.TLF.INTM.MA.ZS,"Labor force with intermediate education, male (% of male working-age population with intermediate education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.TLF.INTM.ZS,Labor force with intermediate education (% of total working-age population with intermediate education),"Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.TLF.PART.FE.ZS,"Part time employment, female (% of total female employment)","Wages and Working Time Statistics database (COND), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Social Protection & Labor, Gender",2013-2024
SL.TLF.PART.MA.ZS,"Part time employment, male (% of total male employment)","Wages and Working Time Statistics database (COND), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Social Protection & Labor, Gender",2013-2024
SL.TLF.PART.ZS,"Part time employment, total (% of total employment)","Wages and Working Time Statistics database (COND), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2013-2024
SL.TLF.TOTL.FE.ZS,"Labor force, female (% of total labor force)","Staff estimates, World Bank (WB), International Labour Organization (ILO)","Education , Social Protection & Labor, Gender",1990-2024
SL.TLF.TOTL.IN,"Labor force, total","Staff estimates, World Bank (WB), International Labour Organization (ILO)","Education , Social Protection & Labor",1990-2024
SL.UEM.1524.FE.NE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1996-2024
SL.UEM.1524.FE.ZS,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Social Protection & Labor, Gender",1991-2024
SL.UEM.1524.MA.NE.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1996-2024
SL.UEM.1524.MA.ZS,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Social Protection & Labor, Gender",1991-2024
SL.UEM.1524.NE.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1996-2024
SL.UEM.1524.ZS,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1991-2024
SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),"Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.BASC.FE.ZS,"Unemployment with basic education, female (% of female labor force with basic education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.BASC.ZS,Unemployment with basic education (% of total labor force with basic education),"Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.INTM.FE.ZS,"Unemployment with intermediate education, female (% of female labor force with intermediate education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.INTM.MA.ZS,"Unemployment with intermediate education, male (% of male labor force with intermediate education)","Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),"Education and Mismatch Indicators database (EMI), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.NEET.FE.ME.ZS,"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2005-2024
SL.UEM.NEET.FE.ZS,"Share of youth not in education, employment or training, female (% of female youth population)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.NEET.MA.ME.ZS,"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2005-2024
SL.UEM.NEET.MA.ZS,"Share of youth not in education, employment or training, male (% of male youth population)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.NEET.ME.ZS,"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2005-2024
SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,2000-2024
SL.UEM.TOTL.FE.NE.ZS,"Unemployment, female (% of female labor force) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1987-2024
SL.UEM.TOTL.FE.ZS,"Unemployment, female (% of female labor force) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Education , Social Protection & Labor, Gender, Social Development ",1991-2024
SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1987-2024
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Education , Social Protection & Labor, Gender, Social Development ",1991-2024
SL.UEM.TOTL.NE.ZS,"Unemployment, total (% of total labor force) (national estimate)","Labour Force Statistics database (LFS), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026",Social Protection & Labor,1974-2024
SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force) (modeled ILO estimate)","ILO Modelled Estimates database (ILOEST), International Labour Organization (ILO), uri: https://ilostat.ilo.org/data/bulk/, publisher: ILOSTAT, type: external database, date accessed: January 17, 2026","Education , Social Protection & Labor",1991-2024
SL.WAG.0714.FE.ZS,"Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Understanding Children's Work, International Labour Organization (ILO);
UN Children's Fund (UNICEF), note: Understanding Children's Work;
World Bank (WB), note: Understanding Children's Work",Social Protection & Labor,2011-2015
SL.WAG.0714.MA.ZS,"Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Understanding Children's Work, International Labour Organization (ILO);
UN Children's Fund (UNICEF), note: Understanding Children's Work;
World Bank (WB), note: Understanding Children's Work",Social Protection & Labor,2011-2015
SL.WAG.0714.ZS,"Children in employment, wage workers (% of children in employment, ages 7-14)","Understanding Children's Work, International Labour Organization (ILO);
UN Children's Fund (UNICEF), note: Understanding Children's Work;
World Bank (WB), note: Understanding Children's Work",Social Protection & Labor,2011-2015
SM.POP.ASYS.EA,Asylum-seekers by country or territory of asylum,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,2000-2024
SM.POP.ASYS.EO,Asylum-seekers by country or territory of origin,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,2000-2024
SM.POP.FDIP,Forcibly displaced people,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,2010-2024
SM.POP.IDPC,Internally displaced people (IDP) by country or territory of asylum / origin,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download;
Global Internal Displacement Database, Internal Displacement Monitoring Centre (IDMC), uri: https://www.internal-displacement.org/database/displacement-data/",,2024-2024
SM.POP.NETM,Net migration,"World Population Prospects, United Nations (UN), publisher: UN Population Division","Financial Sector , Health , Aid Effectiveness ",1960-2024
SM.POP.OPIP.EA,Other people in need of international protection by country or territory of asylum,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,2018-2024
SM.POP.RHCR.EA,Refugees under the mandate of the UNHCR by country or territory of asylum,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,1972-2024
SM.POP.RHCR.EO,Refugees under the mandate of the UNHCR by country or territory of origin,"Refugee Population Statistics Database, UN High Commissioner for Refugees (UNHCR), uri: https://www.unhcr.org/refugee-statistics/download",,1990-2024
SM.POP.TOTL,"International migrant stock, total","International Migrant Stock, United Nations (UN), publisher: UN Population Division","Financial Sector , Health ",1990-2024
SM.POP.TOTL.ZS,International migrant stock (% of population),"International Migrant Stock, United Nations (UN), publisher: UN Population Division","Financial Sector , Health ",1990-2024
SN.ITK.DEFC.ZS,Prevalence of undernourishment (% of population),"Food and Agriculture Organization of the United Nations (FAO), uri: http://www.fao.org/faostat/en/#home",Health ,2001-2023
SN.ITK.MSFI.ZS,Prevalence of moderate or severe food insecurity in the population (%),Food and Agriculture Organization of the United Nations (FAO),Health ,2015-2023
SN.ITK.SVFI.ZS,Prevalence of severe food insecurity in the population (%),Food and Agriculture Organization of the United Nations (FAO),Health ,2015-2023
SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)","World Population Prospects, United Nations (UN), publisher: UN Population Division","Health , Gender, Social Development ",1960-2023
SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Human Mortality Database, Max Planck Institute for Demographic Research, uri: www.mortality.org;
University of California, Berkeley, uri: www.mortality.org, note: Human Mortality Database;
French Institute for Demographic Studies, uri: www.mortality.org, note: Human Mortality Database","Health , Gender",1960-2023
SP.DYN.AMRT.MA,"Mortality rate, adult, male (per 1,000 male adults)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Human Mortality Database, Max Planck Institute for Demographic Research, uri: www.mortality.org;
University of California, Berkeley, uri: www.mortality.org, note: Human Mortality Database;
French Institute for Demographic Studies, uri: www.mortality.org, note: Human Mortality Database","Health , Gender",1960-2023
SP.DYN.CBRT.IN,"Birth rate, crude (per 1,000 people)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT);
Population and Vital Statistics Report (various years), United Nations (UN), publisher: UN Statistical Division",Health ,1960-2023
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT);
Population and Vital Statistics Report (various years), United Nations (UN), publisher: UN Statistical Division",Health ,1960-2023
SP.DYN.CONM.ZS,"Contraceptive prevalence, any modern method (% of married women ages 15-49)","Household surveys, United Nations (UN), note: Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division., publisher: UN Population Division",Health ,1987-2018
SP.DYN.CONU.ZS,"Contraceptive prevalence, any method (% of married women ages 15-49)","Household surveys, United Nations (UN), note: Household surveys, including Demographic and Health Surveys and Multiple Indicator Cluster Surveys. Largely compiled by United Nations Population Division., publisher: UN Population Division","Health , Gender",1979-2018
SP.DYN.IMRT.FE.IN,"Mortality rate, infant, female (per 1,000 live births)","UN Inter-agency Group for Child Mortality Estimation, UN Children's Fund (UNICEF), uri: www.childmortality.org;
World Health Organization (WHO), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
World Bank (WB), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
United Nations (UN), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation, publisher: UN Population Division",Health ,1960-2023
SP.DYN.IMRT.IN,"Mortality rate, infant (per 1,000 live births)","UN Inter-agency Group for Child Mortality Estimation, UN Children's Fund (UNICEF), uri: www.childmortality.org;
World Health Organization (WHO), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
World Bank (WB), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
United Nations (UN), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation, publisher: UN Population Division",Health ,1960-2023
SP.DYN.IMRT.MA.IN,"Mortality rate, infant, male (per 1,000 live births)","UN Inter-agency Group for Child Mortality Estimation, UN Children's Fund (UNICEF), uri: www.childmortality.org;
World Health Organization (WHO), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
World Bank (WB), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation;
United Nations (UN), uri: www.childmortality.org, note: UN Inter-agency Group for Child Mortality Estimation, publisher: UN Population Division",Health ,1960-2023
SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)","Health , Gender, Social Development ",1960-2023
SP.DYN.LE00.IN,"Life expectancy at birth, total (years)","World Population Prospects, United Nations (UN), uri: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices, note: Derived from male and female life expectancy at birth from sources such as statistical databases and publications from national statistical offices.;
Demographic Statistics, Eurostat (ESTAT), note: Derived from male and female life expectancy at birth from sources such as Eurostat: Demographic Statistics.",Health ,1960-2023
SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)","Health , Gender, Social Development ",1960-2023
SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Statistical databases and publications from national statistical offices, National statistical offices;
Demographic Statistics, Eurostat (ESTAT)","Health , Gender",1960-2023
SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)","World Population Prospects, United Nations (UN), publisher: UN Population Division","Health , Gender",1960-2023
SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)","World Population Prospects, United Nations (UN), publisher: UN Population Division","Health , Gender",1960-2023
SP.DYN.WFRT,Wanted fertility rate (births per woman),Demographic and Health Surveys,"Health , Gender",1987-1987
SP.M15.2024.FE.ZS,Women who were first married by age 15 (% of women ages 20-24),"UNICEF Data, UN Children's Fund (UNICEF), uri: https://sdmx.data.unicef.org/overview.html, note: Indicator code from the original source: PT_F_20-24_MRD_U15; 	Indicator name from the original source: Percentage of women (aged 20-24 years) married or in union before age 15, type: API;
DHS API, DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: MA_MBAG_W_B15; 	Indicator name from the original source: Women first married by exact age 15, type: API","Health , Gender",1987-2018
SP.M18.2024.FE.ZS,Women who were first married by age 18 (% of women ages 20-24),"UNICEF Data, UN Children's Fund (UNICEF), uri: https://sdmx.data.unicef.org/overview.html, note: Indicator code from the original source: PT_F_20-24_MRD_U18; 	Indicator name from the original source: Percentage of women (aged 20-24 years) married or in union before age 18, type: API;
DHS API, DHS Program (ICF), uri: https://api.dhsprogram.com/#/index.html, note: Indicator code from the original source: MA_MBAG_W_B18; 	Indicator name from the original source: Women first married by exact age 18, type: API","Health , Gender",1987-2018
SP.MTR.1519.ZS,Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Demographic and Health Surveys,"Health , Gender",1987-1987
SP.POP.0004.FE.5Y,"Population ages 00-04, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0004.MA.5Y,"Population ages 00-04, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0014.FE.IN,"Population ages 0-14, female","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0014.MA.IN,"Population ages 0-14, male","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0014.TO,"Population ages 0-14, total","Staff estimates, World Bank (WB), note: Staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects., publisher: World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's data.;
World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),"United Nations Population Division. World Population Prospects., United Nations Population Division, uri: https://population.un.org/wpp/, publisher: United Nations Population Division","Education , Health ",1960-2024
SP.POP.0509.FE.5Y,"Population ages 05-09, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.0509.MA.5Y,"Population ages 05-09, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1014.FE.5Y,"Population ages 10-14, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1014.MA.5Y,"Population ages 10-14, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1519.FE.5Y,"Population ages 15-19, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1519.MA.5Y,"Population ages 15-19, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1564.FE.IN,"Population ages 15-64, female","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1564.MA.IN,"Population ages 15-64, male","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.1564.MA.ZS,"Population ages 15-64, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.1564.TO,"Population ages 15-64, total","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),"World Population Prospects, United Nations (UN), publisher: UN Population Division","Education , Health ",1960-2024
SP.POP.2024.FE.5Y,"Population ages 20-24, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.2024.MA.5Y,"Population ages 20-24, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.2529.FE.5Y,"Population ages 25-29, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.2529.MA.5Y,"Population ages 25-29, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.3034.FE.5Y,"Population ages 30-34, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.3034.MA.5Y,"Population ages 30-34, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.3539.FE.5Y,"Population ages 35-39, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.3539.MA.5Y,"Population ages 35-39, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.4044.FE.5Y,"Population ages 40-44, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.4044.MA.5Y,"Population ages 40-44, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.4549.FE.5Y,"Population ages 45-49, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.4549.MA.5Y,"Population ages 45-49, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.5054.FE.5Y,"Population ages 50-54, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.5054.MA.5Y,"Population ages 50-54, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.5559.FE.5Y,"Population ages 55-59, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.5559.MA.5Y,"Population ages 55-59, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.6064.FE.5Y,"Population ages 60-64, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.6064.MA.5Y,"Population ages 60-64, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.6569.FE.5Y,"Population ages 65-69, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.65UP.FE.IN,"Population ages 65 and above, female","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.65UP.MA.IN,"Population ages 65 and above, male","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.65UP.TO,"Population ages 65 and above, total","World Population Prospects, United Nations (UN), publisher: UN Population Division;
Staff estimates, World Bank (WB)",Health ,1960-2024
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)","World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2024
SP.POP.BRTH.MF,Sex ratio at birth (male births per female births),"World Population Prospects, United Nations (UN), publisher: UN Population Division",Health ,1960-2023
